condition,0,1
0,[0.4697 0.5511 0.652  0.788  1.1103],[0.469 0.554 0.65  0.795 1.106]
1,[0.654  0.733  0.842  0.9905 1.304 ],[0.643 0.725 0.819 0.957 1.248]
2,[0.4954 0.6092 0.746  0.947  1.365 ],[0.495 0.611 0.756 0.969 1.387]
3,[0.669  0.783  0.916  1.107  1.5075],[0.667  0.782  0.921  1.118  1.5071]
